Date,Brent Crude Oil,Crude Oil WTI,OSEAX
4/29/20,23.68,15.86,772.2
4/28/20,22.65,12.47,757.5
4/27/20,15.17,12.17,743.4
4/24/20,15.87,15.99,738.1
4/23/20,15.06,15.06,750.1
4/22/20,13.77,13.64,738.1
4/21/20,9.12,8.91,726.7
4/20/20,17.36,-36.98,740.9
4/17/20,19.75,18.31,748.5
4/16/20,18.69,19.82,727.7
4/15/20,19.80,19.96,737.5
4/14/20,21.74,20.15,755.4
4/9/20,20.23,22.36,744.9
4/8/20,25.22,22.90,734.4
4/7/20,22.10,24.97,744.4
4/6/20,22.58,23.54,728.5
4/3/20,24.33,26.21,712.2
4/2/20,20.24,28.36,713.0
4/1/20,14.97,25.18,719.6
3/31/20,14.85,20.28,707.1
3/30/20,19.19,20.51,686.9
3/27/20,22.39,14.10,666.9
3/26/20,23.55,15.48,692.0
3/25/20,25.62,16.60,682.5
3/24/20,24.50,20.75,671.6
3/23/20,23.75,21.03,635.9
3/20/20,25.55,23.33,668.8
3/19/20,23.98,19.48,667.3
3/18/20,22.79,25.09,637.8
3/17/20,27.97,20.48,645.1
3/16/20,27.98,26.96,639.1
3/13/20,32.25,28.96,675.1
3/12/20,31.02,31.72,650.6
3/11/20,34.45,31.56,713.1
3/10/20,35.57,33.13,739.7
3/9/20,35.33,34.47,736.1
3/6/20,45.60,31.05,801.3
3/5/20,51.29,41.14,838.5
3/4/20,51.86,45.90,858.6
3/3/20,52.24,46.78,859.2
3/2/20,52.52,47.27,833.8
2/28/20,51.31,46.78,830.3
2/27/20,52.19,44.83,843.2
2/26/20,54.96,47.17,886.5
2/25/20,55.29,48.67,895.0
2/24/20,56.71,49.78,898.4
2/21/20,58.60,51.36,936.7
2/20/20,59.57,53.36,942.9
2/19/20,59.72,53.77,934.9
2/18/20,57.35,53.31,926.7
2/17/20,57.83,52.10,928.0
2/14/20,57.37,52.03,929.2
2/13/20,56.34,51.41,926.3
2/12/20,55.54,51.13,930.8
2/11/20,54.00,50.00,925.7
2/10/20,53.39,49.59,912.3
2/7/20,54.53,50.34,920.8
2/6/20,55.18,50.94,936.3
2/5/20,55.36,50.87,930.9
2/4/20,53.90,49.59,917.3
2/3/20,54.00,50.06,914.0
1/31/20,57.77,51.58,913.8
1/30/20,57.72,52.19,915.9
1/29/20,59.46,53.29,925.3
1/28/20,59.37,53.33,925.7
1/27/20,58.54,53.09,921.3
1/24/20,59.34,54.09,940.0
1/23/20,61.26,55.51,930.3
1/22/20,62.11,56.76,943.9
1/21/20,63.66,58.25,941.7
1/20/20,64.63,58.55,946.2
1/17/20,64.05,58.52,946.6
1/16/20,64.63,57.86,936.6
1/15/20,63.29,58.34,937.0
1/14/20,64.45,58.17,938.6
1/13/20,64.14,59.02,940.6
1/10/20,66.77,59.56,939.4
1/9/20,66.58,59.65,938.3
1/8/20,67.31,62.70,938.5
1/7/20,68.74,63.27,937.4
1/6/20,70.25,63.00,940.1
1/3/20,69.08,61.17,942.7
1/2/20,67.05,61.14,941.3
12/31/19,67.77,61.66,936.4
12/30/19,68.30,61.76,931.5
12/27/19,68.91,61.72,933.9
12/26/19,69.26,61.17,934.2
12/24/19,69.26,60.51,934.5
12/23/19,67.49,60.43,935.2
12/20/19,68.66,61.30,928.2
12/19/19,69.70,60.93,922.6
12/18/19,69.12,60.88,916.5
12/17/19,68.99,60.21,914.0
